Month,Age_Group,Rating,Data_Points
1,4歲以上,0.0826470588235294,748
1,15-44歲,0.07340909090909091,748
1,15-24歲,0.07080213903743315,748
1,25-34歲,0.08479946524064172,748
1,35-44歲,0.06759358288770054,748
1,45-54歲,0.08870320855614974,748
1,55歲以上,0.10671122994652407,748
2,4歲以上,0.08587044534412956,741
2,15-44歲,0.07574898785425102,741
2,15-24歲,0.0700944669365722,741
2,25-34歲,0.08697705802968961,741
2,35-44歲,0.07317139001349529,741
2,45-54歲,0.09279352226720647,741
2,55歲以上,0.1088259109311741,741
3,4歲以上,0.09570332480818412,782
3,15-44歲,0.08195652173913044,782
3,15-24歲,0.07271099744245525,782
3,25-34歲,0.09214833759590793,782
3,35-44歲,0.08443734015345268,782
3,45-54歲,0.10520460358056268,782
3,55歲以上,0.12388746803069055,782
4,4歲以上,0.08119727891156463,735
4,15-44歲,0.06820408163265307,735
4,15-24歲,0.06102040816326531,735
4,25-34歲,0.0770748299319728,735
4,35-44歲,0.0695374149659864,735
4,45-54歲,0.08453061224489797,735
4,55歲以上,0.1087482993197279,735
5,4歲以上,0.08570093457943925,749
5,15-44歲,0.07460614152202938,749
5,15-24歲,0.07432576769025367,749
5,25-34歲,0.07817089452603472,749
5,35-44歲,0.07472630173564752,749
5,45-54歲,0.09727636849132176,749
5,55歲以上,0.10903871829105476,749
6,4歲以上,0.08770919067215363,729
6,15-44歲,0.0774485596707819,729
6,15-24歲,0.0750891632373114,729
6,25-34歲,0.08156378600823046,729
6,35-44歲,0.07844993141289439,729
6,45-54歲,0.09658436213991771,729
6,55歲以上,0.11112482853223593,729
7,4歲以上,0.09378196500672946,743
7,15-44歲,0.08134589502018842,743
7,15-24歲,0.07706594885598923,743
7,25-34歲,0.08686406460296098,743
7,35-44歲,0.08347240915208615,743
7,45-54歲,0.10060565275908478,743
7,55歲以上,0.11703903095558547,743
8,4歲以上,0.0874089068825911,741
8,15-44歲,0.07453441295546559,741
8,15-24歲,0.06550607287449392,741
8,25-34歲,0.08369770580296898,741
8,35-44歲,0.07766531713900135,741
8,45-54歲,0.09067476383265857,741
8,55歲以上,0.11286099865047235,741
9,4歲以上,0.09278164116828928,719
9,15-44歲,0.0808344923504868,719
9,15-24歲,0.06858136300417246,719
9,25-34歲,0.09456189151599442,719
9,35-44歲,0.0834770514603616,719
9,45-54歲,0.09118219749652295,719
9,55歲以上,0.12228094575799722,719
10,4歲以上,0.10305989583333335,768
10,15-44歲,0.09682291666666669,768
10,15-24歲,0.08618489583333333,768
10,25-34歲,0.11658854166666667,768
10,35-44歲,0.09140625000000002,768
10,45-54歲,0.10524739583333335,768
10,55歲以上,0.12348958333333333,768
11,4歲以上,0.0981578947368421,760
11,15-44歲,0.09242105263157896,760
11,15-24歲,0.08222368421052632,760
11,25-34歲,0.10989473684210528,760
11,35-44歲,0.0884078947368421,760
11,45-54歲,0.101,760
11,55歲以上,0.11628947368421054,760
12,4歲以上,0.09146214099216711,766
12,15-44歲,0.08655352480417754,766
12,15-24歲,0.08028720626631854,766
12,25-34歲,0.10244125326370757,766
12,35-44歲,0.08015665796344648,766
12,45-54歲,0.09643603133159269,766
12,55歲以上,0.10712793733681462,766
